index,BOX
1/1/1987,70.27
2/1/1987,70.64
3/1/1987,71.05
4/1/1987,71.41
5/1/1987,71.88
6/1/1987,72.3
7/1/1987,72.62
8/1/1987,73.16
9/1/1987,73.75
10/1/1987,74.01
11/1/1987,74.42
12/1/1987,74.58
1/1/1988,74.66
2/1/1988,74.59
3/1/1988,74.48
4/1/1988,74.53
5/1/1988,74.81
6/1/1988,75
7/1/1988,75.03
8/1/1988,74.84
9/1/1988,74.71
10/1/1988,74.6
11/1/1988,74.64
12/1/1988,74.7
1/1/1989,74.52
2/1/1989,75.17
3/1/1989,75.55
4/1/1989,75.39
5/1/1989,75.04
6/1/1989,74.52
7/1/1989,74.18
8/1/1989,73.44
9/1/1989,73.01
10/1/1989,72.72
11/1/1989,72.99
12/1/1989,73
1/1/1990,73.1
2/1/1990,72.87
3/1/1990,72.19
4/1/1990,71.65
5/1/1990,70.69
6/1/1990,69.99
7/1/1990,69.36
8/1/1990,68.9
9/1/1990,68.6
10/1/1990,68.08
11/1/1990,67.12
12/1/1990,66.19
1/1/1991,65.31
2/1/1991,64.75
3/1/1991,64.45
4/1/1991,64.03
5/1/1991,64.09
6/1/1991,64.06
7/1/1991,64.01
8/1/1991,64.1
9/1/1991,64.14
10/1/1991,64.11
11/1/1991,63.86
12/1/1991,63.81
1/1/1992,63.56
2/1/1992,63.56
3/1/1992,63.81
4/1/1992,64.4
5/1/1992,64.35
6/1/1992,64.15
7/1/1992,63.94
8/1/1992,63.97
9/1/1992,63.9
10/1/1992,64.03
11/1/1992,64.03
12/1/1992,64.47
1/1/1993,64.86
2/1/1993,64.95
3/1/1993,64.82
4/1/1993,64.71
5/1/1993,64.83
6/1/1993,65.15
7/1/1993,65.52
8/1/1993,65.73
9/1/1993,65.85
10/1/1993,65.88
11/1/1993,66.22
12/1/1993,66.52
1/1/1994,66.82
2/1/1994,67.07
3/1/1994,67.47
4/1/1994,68.03
5/1/1994,67.93
6/1/1994,68.13
7/1/1994,68.16
8/1/1994,68.29
9/1/1994,68.44
10/1/1994,68.66
11/1/1994,68.79
12/1/1994,68.78
1/1/1995,68.79
2/1/1995,69.01
3/1/1995,69.13
4/1/1995,68.98
5/1/1995,69.09
6/1/1995,69.39
7/1/1995,69.7
8/1/1995,70.03
9/1/1995,70.12
10/1/1995,70.14
11/1/1995,70.11
12/1/1995,70.27
1/1/1996,70.68
2/1/1996,70.96
3/1/1996,71.39
4/1/1996,71.66
5/1/1996,71.82
6/1/1996,72.08
7/1/1996,72.44
8/1/1996,72.93
9/1/1996,73.02
10/1/1996,73.32
11/1/1996,73.48
12/1/1996,74.2
1/1/1997,74.61
2/1/1997,74.91
3/1/1997,75.35
4/1/1997,75.73
5/1/1997,76.13
6/1/1997,76.49
