,BOX,DEX,SFX,POX,WDX,CRX,SDX,LVX,SEX,LXX,MIX,PHX,CHX,TPX,MNX,DAX,DNX,ATX,CEX
1987-01-01,70.27,,46.96,41.3,64.41,63.56,54.79,66.42,,59.43,68.55,,54.21,77.44,,,50.35,,54.06
1987-02-01,70.64,,47.3,41.44,65.13,64.03,55.22,67.57,,59.89,68.92,,55.23,78.1,,,50.16,,54.23
1987-03-01,71.05,,47.84,41.42,66.0,64.11,55.49,67.85,,60.4,69.39,,54.81,77.69,,,50.38,,54.37
1987-04-01,71.41,,47.98,41.27,66.64,64.89,56.05,68.19,,61.32,69.46,,54.8,77.82,,,50.74,,54.16
1987-05-01,71.88,,48.31,41.4,67.44,65.22,56.46,67.93,,62.03,69.75,,55.48,77.97,,,50.76,,54.73
1987-06-01,72.3,,48.61,41.43,68.52,65.56,56.79,66.8,,62.78,69.47,,56.06,78.68,,,50.43,,54.88
1987-07-01,72.62,,49.08,41.56,69.39,65.72,57.08,65.76,,63.46,69.64,,57.11,78.99,,,50.2,,55.29
1987-08-01,73.16,,49.54,41.6,70.25,65.87,57.38,65.03,,64.13,69.8,,57.61,78.95,,,50.12,,55.44
1987-09-01,73.75,,50.24,41.54,71.4,66.27,57.84,65.28,,64.89,70.57,,58.27,79.04,,,50.06,,55.84
1987-10-01,74.01,,50.99,41.63,72.32,66.59,58.3,65.51,,65.77,71.02,,59.01,78.87,,,50.15,,56.13
1987-11-01,74.42,,51.64,41.57,73.16,67.12,58.9,66.53,,66.71,71.42,,59.71,79.02,,,49.73,,56.46
1987-12-01,74.58,,52.23,41.8,73.59,67.38,59.4,66.49,,67.78,71.46,,61.08,79.36,,,49.85,,56.61
1988-01-01,74.66,,52.7,41.84,74.4,67.78,60.02,66.7,,68.78,71.68,,61.97,79.5,,,49.55,,56.99
1988-02-01,74.59,,53.2,41.66,75.29,67.53,60.49,66.43,,69.71,71.83,,63.45,79.43,,,49.49,,57.22
1988-03-01,74.48,,53.87,42.24,76.39,67.96,61.28,66.76,,70.7,72.35,,64.51,79.24,,,49.06,,57.9
1988-04-01,74.53,,54.53,42.43,77.3,67.93,61.44,67.43,,71.48,72.72,,65.15,79.66,,,48.74,,58.07
1988-05-01,74.81,,56.07,42.74,78.38,67.99,61.85,67.58,,72.48,73.1,,65.57,79.95,,,48.35,,58.26
1988-06-01,75.0,,57.88,42.71,79.34,68.13,61.44,67.53,,74.39,73.71,,66.46,80.18,,,48.17,,58.96
1988-07-01,75.03,,58.17,42.84,80.78,68.57,64.59,67.65,,76.92,74.11,,66.55,80.51,,,48.22,,59.22
1988-08-01,74.84,,58.5,43.2,81.93,69.42,65.29,67.95,,78.67,74.68,,67.75,80.71,,,48.25,,59.63
1988-09-01,74.71,,58.94,43.43,83.16,69.71,66.08,68.46,,80.61,75.25,,68.02,80.63,,,48.21,,59.89
1988-10-01,74.6,,59.95,43.74,83.67,69.89,67.18,68.46,,82.38,75.6,,69.03,80.73,,,48.03,,60.34
1988-11-01,74.64,,61.11,43.95,84.63,69.64,68.43,68.14,,84.41,75.96,,68.65,80.61,,,47.75,,60.73
1988-12-01,74.7,,62.47,44.21,85.93,69.85,69.83,67.83,,85.82,76.22,,68.51,80.9,,,47.44,,61.31
1989-01-01,74.52,,63.29,44.48,86.87,69.92,71.17,68.78,,87.47,76.58,67.57,68.33,80.56,63.49,,47.47,,62.0
1989-02-01,75.17,,64.06,44.8,87.8,70.33,72.76,69.64,,88.77,76.99,67.62,69.01,80.99,63.15,,47.45,,62.07
1989-03-01,75.55,,65.56,45.0,88.62,70.62,74.48,70.48,,91.15,77.18,67.92,70.07,81.61,62.69,,47.53,,62.17
1989-04-01,75.39,,66.7,45.35,89.33,70.88,75.81,70.0,,93.01,77.55,67.97,70.65,81.97,63.08,,47.47,,61.97
1989-05-01,75.04,,67.7,45.61,89.78,71.22,77.05,69.79,,94.57,77.57,68.07,70.51,82.35,63.18,,47.6,,62.64
1989-06-01,74.52,,68.78,46.02,90.2,71.48,78.14,71.55,,95.51,77.81,67.7,70.52,81.96,63.74,,47.61,,62.83
