date,close
1/1/1969,4473
1/1/1970,4794
1/1/1971,5089
1/1/1972,5450
1/1/1973,5882
1/1/1974,6371
1/1/1975,6851
1/1/1976,7363
1/1/1977,8018
1/1/1978,8865
1/1/1979,9869
1/1/1980,11138
1/1/1981,12413
1/1/1982,13642
1/1/1983,14797
1/1/1984,16610
1/1/1985,17900
1/1/1986,19248
1/1/1987,20785
1/1/1988,22835
1/1/1989,23955
1/1/1990,24669
1/1/1991,25117
1/1/1992,26487
1/1/1993,27379
1/1/1994,28552
1/1/1995,30024
1/1/1996,31755
1/1/1997,33500
1/1/1998,35517
1/1/1999,37721
1/1/2000,42085
1/1/2001,43305
1/1/2002,43072
1/1/2003,43978
1/1/2004,46263
1/1/2005,48504
1/1/2006,52263
1/1/2007,54642
1/1/2008,55862
1/1/2009,54257
1/1/2010,55548
1/1/2011,58530
1/1/2012,61258
1/1/2013,61754
