observation_date,WASH911PCPI
1969-01-01,5242
1970-01-01,5806
1971-01-01,6396
1972-01-01,6861
1973-01-01,7433
1974-01-01,8041
1975-01-01,8723
1976-01-01,9429
1977-01-01,10234
1978-01-01,11257
1979-01-01,12330
1980-01-01,13676
1981-01-01,14953
1982-01-01,16077
1983-01-01,17082
1984-01-01,18710
1985-01-01,20037
1986-01-01,21237
1987-01-01,22465
1988-01-01,24296
1989-01-01,25851
1990-01-01,26907
1991-01-01,27692
1992-01-01,28917
1993-01-01,29976
1994-01-01,31022
1995-01-01,31972
1996-01-01,33095
1997-01-01,34682
1998-01-01,36940
1999-01-01,39148
2000-01-01,42187
2001-01-01,43398
2002-01-01,43966
2003-01-01,45634
2004-01-01,48292
2005-01-01,51223
2006-01-01,54423
2007-01-01,56718
2008-01-01,58415
2009-01-01,57106
2010-01-01,58052
2011-01-01,60547
2012-01-01,61907
2013-01-01,61507
