observation_date,WASH911BP1FH
1988-01-01,1274
1988-02-01,2044
1988-03-01,2990
1988-04-01,2929
1988-05-01,2494
1988-06-01,2692
1988-07-01,2440
1988-08-01,3372
1988-09-01,2470
1988-10-01,2050
1988-11-01,2197
1988-12-01,2183
1989-01-01,1617
1989-02-01,1705
1989-03-01,2034
1989-04-01,2497
1989-05-01,1978
1989-06-01,2194
1989-07-01,1802
1989-08-01,1911
1989-09-01,1978
1989-10-01,1401
1989-11-01,1813
1989-12-01,1362
1990-01-01,1404
1990-02-01,1492
1990-03-01,1924
1990-04-01,1674
1990-05-01,1633
1990-06-01,1652
1990-07-01,1089
1990-08-01,1526
1990-09-01,1017
1990-10-01,1129
1990-11-01,817
1990-12-01,852
1991-01-01,694
1991-02-01,633
1991-03-01,1430
1991-04-01,1377
1991-05-01,1682
1991-06-01,1580
1991-07-01,1394
1991-08-01,1310
1991-09-01,1185
1991-10-01,1271
1991-11-01,1173
1991-12-01,1200
1992-01-01,1337
1992-02-01,1338
1992-03-01,2031
1992-04-01,2090
1992-05-01,2075
1992-06-01,2048
1992-07-01,1784
1992-08-01,1600
1992-09-01,1710
1992-10-01,1824
1992-11-01,1429
1992-12-01,1649
1993-01-01,1634
1993-02-01,1700
1993-03-01,2267
1993-04-01,2788
1993-05-01,2264
1993-06-01,2540
1993-07-01,2398
1993-08-01,2283
1993-09-01,2106
1993-10-01,2188
1993-11-01,2105
1993-12-01,1953
1994-01-01,1539
1994-02-01,1833
1994-03-01,2418
1994-04-01,2422
1994-05-01,2693
1994-06-01,2994
1994-07-01,2143
1994-08-01,2637
1994-09-01,2357
1994-10-01,1916
1994-11-01,1740
1994-12-01,1939
1995-01-01,1333
1995-02-01,1337
1995-03-01,2549
1995-04-01,1925
1995-05-01,1952
1995-06-01,2080
1995-07-01,1916
1995-08-01,2779
1995-09-01,1753
1995-10-01,2226
1995-11-01,1738
1995-12-01,1585
1996-01-01,1225
1996-02-01,1641
1996-03-01,2068
1996-04-01,2144
1996-05-01,2789
1996-06-01,2220
1996-07-01,2059
1996-08-01,2242
1996-09-01,1814
1996-10-01,1882
1996-11-01,1602
1996-12-01,1505
1997-01-01,1711
1997-02-01,1606
1997-03-01,1884
1997-04-01,2198
1997-05-01,2426
1997-06-01,2208
1997-07-01,2158
1997-08-01,1885
1997-09-01,1923
1997-10-01,1927
1997-11-01,1495
